0.991955 0.989958 0.983974 0.974029 0.960161 0.942428 0.920899 0.895662 0.866819 0.834485 0.798792 0.759881 0.717911 0.673051 0.62548 0.57539 0.522984 0.468472 0.412073 0.354015 0.294532 0.233862 0.172251 0.109946 0.0471991 -0.0157383 -0.0786124 -0.14117 -0.203159 -0.26433 -0.324437 -0.383237 -0.440494 -0.495977 -0.549464 -0.600737 -0.649592 -0.695831 -0.739269 -0.779729 -0.81705 -0.851081 -0.881685 -0.908738 -0.932133 -0.951774 -0.967582 -0.979495 -0.987463 -0.991455 -0.991455 -0.987463 -0.979495 -0.967582 -0.951774 -0.932133 -0.908738 -0.881685 -0.851081 -0.81705 -0.779729 -0.739269 -0.695831 -0.649592 -0.600737 -0.549464 -0.495977 -0.440494 -0.383237 -0.324437 -0.26433 -0.203159 -0.14117 -0.0786124 -0.0157383 0.0471991 0.109946 0.172251 0.233862 0.294532 0.354015 0.412073 0.468472 0.522984 0.57539 0.62548 0.673051 0.717911 0.759881 0.798792 0.834485 0.866819 0.895662 0.920899 0.942428 0.960161 0.974029 0.983974 0.989958 0.991955 || 0 
0.989958 0.987965 0.981993 0.972068 0.958228 0.94053 0.919045 0.893859 0.865074 0.832805 0.797183 0.758352 0.716466 0.671696 0.62422 0.574232 0.521931 0.467528 0.411243 0.353302 0.293939 0.233391 0.171904 0.109725 0.0471041 -0.0157066 -0.0784541 -0.140886 -0.20275 -0.263798 -0.323783 -0.382465 -0.439607 -0.494979 -0.548357 -0.599528 -0.648284 -0.69443 -0.73778 -0.778159 -0.815405 -0.849367 -0.879909 -0.906909 -0.930256 -0.949857 -0.965634 -0.977523 -0.985475 -0.989459 -0.989459 -0.985475 -0.977523 -0.965634 -0.949857 -0.930256 -0.906909 -0.879909 -0.849367 -0.815405 -0.778159 -0.73778 -0.69443 -0.648284 -0.599528 -0.548357 -0.494979 -0.439607 -0.382465 -0.323783 -0.263798 -0.20275 -0.140886 -0.0784541 -0.0157066 0.0471041 0.109725 0.171904 0.233391 0.293939 0.353302 0.411243 0.467528 0.521931 0.574232 0.62422 0.671696 0.716466 0.758352 0.797183 0.832805 0.865074 0.893859 0.919045 0.94053 0.958228 0.972068 0.981993 0.987965 0.989958 || 1 
0.983974 0.981993 0.976058 0.966193 0.952437 0.934846 0.91349 0.888457 0.859845 0.827772 0.792365 0.753768 0.712136 0.667636 0.620448 0.570761 0.518776 0.464703 0.408758 0.351167 0.292162 0.231981 0.170865 0.109062 0.0468194 -0.0156117 -0.0779799 -0.140034 -0.201525 -0.262203 -0.321826 -0.380154 -0.43695 -0.491987 -0.545043 -0.595904 -0.644366 -0.690233 -0.733321 -0.773456 -0.810477 -0.844234 -0.874591 -0.901427 -0.924633 -0.944116 -0.959798 -0.971615 -0.979519 -0.983479 -0.983479 -0.979519 -0.971615 -0.959798 -0.944116 -0.924633 -0.901427 -0.874591 -0.844234 -0.810477 -0.773456 -0.733321 -0.690233 -0.644366 -0.595904 -0.545043 -0.491987 -0.43695 -0.380154 -0.321826 -0.262203 -0.201525 -0.140034 -0.0779799 -0.0156117 0.0468194 0.109062 0.170865 0.231981 0.292162 0.351167 0.408758 0.464703 0.518776 0.570761 0.620448 0.667636 0.712136 0.753768 0.792365 0.827772 0.859845 0.888457 0.91349 0.934846 0.952437 0.966193 0.976058 0.981993 0.983974 || 2 
0.974029 0.972068 0.966193 0.956427 0.94281 0.925397 0.904257 0.879477 0.851155 0.819405 0.784357 0.746149 0.704938 0.660888 0.614177 0.564992 0.513533 0.460006 0.404626 0.347617 0.289209 0.229636 0.169138 0.10796 0.0463462 -0.0154539 -0.0771917 -0.138619 -0.199488 -0.259553 -0.318574 -0.376311 -0.432534 -0.487014 -0.539534 -0.589881 -0.637853 -0.683257 -0.725909 -0.765638 -0.802285 -0.835701 -0.865751 -0.892316 -0.915288 -0.934574 -0.950097 -0.961794 -0.969618 -0.973539 -0.973539 -0.969618 -0.961794 -0.950097 -0.934574 -0.915288 -0.892316 -0.865751 -0.835701 -0.802285 -0.765638 -0.725909 -0.683257 -0.637853 -0.589881 -0.539534 -0.487014 -0.432534 -0.376311 -0.318574 -0.259553 -0.199488 -0.138619 -0.0771917 -0.0154539 0.0463462 0.10796 0.169138 0.229636 0.289209 0.347617 0.404626 0.460006 0.513533 0.564992 0.614177 0.660888 0.704938 0.746149 0.784357 0.819405 0.851155 0.879477 0.904257 0.925397 0.94281 0.956427 0.966193 0.972068 0.974029 || 3 
0.960161 0.958228 0.952437 0.94281 0.929387 0.912222 0.891383 0.866955 0.839036 0.807739 0.773189 0.735526 0.694901 0.651479 0.605432 0.556948 0.506222 0.453456 0.398865 0.342668 0.285091 0.226367 0.16673 0.106423 0.0456863 -0.0152339 -0.0760927 -0.136645 -0.196647 -0.255858 -0.314038 -0.370954 -0.426376 -0.480081 -0.531853 -0.581483 -0.628772 -0.673529 -0.715574 -0.754738 -0.790862 -0.823803 -0.853425 -0.879612 -0.902257 -0.921268 -0.93657 -0.948101 -0.955814 -0.959678 -0.959678 -0.955814 -0.948101 -0.93657 -0.921268 -0.902257 -0.879612 -0.853425 -0.823803 -0.790862 -0.754738 -0.715574 -0.673529 -0.628772 -0.581483 -0.531853 -0.480081 -0.426376 -0.370954 -0.314038 -0.255858 -0.196647 -0.136645 -0.0760927 -0.0152339 0.0456863 0.106423 0.16673 0.226367 0.285091 0.342668 0.398865 0.453456 0.506222 0.556948 0.605432 0.651479 0.694901 0.735526 0.773189 0.807739 0.839036 0.866955 0.891383 0.912222 0.929387 0.94281 0.952437 0.958228 0.960161 || 4 
0.942428 0.94053 0.934846 0.925397 0.912222 0.895373 0.87492 0.850943 0.82354 0.792821 0.758909 0.721941 0.682067 0.639446 0.59425 0.546662 0.496872 0.445081 0.391499 0.336339 0.279826 0.222186 0.163651 0.104457 0.0448425 -0.0149525 -0.0746873 -0.134121 -0.193015 -0.251132 -0.308238 -0.364102 -0.418501 -0.471214 -0.52203 -0.570743 -0.617159 -0.661089 -0.702358 -0.740798 -0.776256 -0.808587 -0.837663 -0.863366 -0.885592 -0.904253 -0.919272 -0.93059 -0.93816 -0.941953 -0.941953 -0.93816 -0.93059 -0.919272 -0.904253 -0.885592 -0.863366 -0.837663 -0.808587 -0.776256 -0.740798 -0.702358 -0.661089 -0.617159 -0.570743 -0.52203 -0.471214 -0.418501 -0.364102 -0.308238 -0.251132 -0.193015 -0.134121 -0.0746873 -0.0149525 0.0448425 0.104457 0.163651 0.222186 0.279826 0.336339 0.391499 0.445081 0.496872 0.546662 0.59425 0.639446 0.682067 0.721941 0.758909 0.792821 0.82354 0.850943 0.87492 0.895373 0.912222 0.925397 0.934846 0.94053 0.942428 || 5 
0.920899 0.919045 0.91349 0.904257 0.891383 0.87492 0.854933 0.831504 0.804727 0.77471 0.741573 0.70545 0.666486 0.624839 0.580675 0.534174 0.485521 0.434914 0.382555 0.328656 0.273434 0.21711 0.159912 0.102071 0.0438181 -0.014611 -0.0729812 -0.131058 -0.188606 -0.245395 -0.301197 -0.355785 -0.408941 -0.46045 -0.510104 -0.557705 -0.603061 -0.645988 -0.686313 -0.723876 -0.758523 -0.790116 -0.818528 -0.843643 -0.865362 -0.883596 -0.898272 -0.909332 -0.916729 -0.920435 -0.920435 -0.916729 -0.909332 -0.898272 -0.883596 -0.865362 -0.843643 -0.818528 -0.790116 -0.758523 -0.723876 -0.686313 -0.645988 -0.603061 -0.557705 -0.510104 -0.46045 -0.408941 -0.355785 -0.301197 -0.245395 -0.188606 -0.131058 -0.0729812 -0.014611 0.0438181 0.102071 0.159912 0.21711 0.273434 0.328656 0.382555 0.434914 0.485521 0.534174 0.580675 0.624839 0.666486 0.70545 0.741573 0.77471 0.804727 0.831504 0.854933 0.87492 0.891383 0.904257 0.91349 0.919045 0.920899 || 6 
0.895662 0.893859 0.888457 0.879477 0.866955 0.850943 0.831504 0.808717 0.782674 0.753479 0.72125 0.686117 0.648221 0.607715 0.564762 0.519535 0.472216 0.422995 0.372072 0.31965 0.26594 0.21116 0.15553 0.0992736 0.0426173 -0.0142105 -0.0709812 -0.127466 -0.183438 -0.238671 -0.292942 -0.346035 -0.397734 -0.447831 -0.496125 -0.542422 -0.586534 -0.628285 -0.667505 -0.704038 -0.737736 -0.768463 -0.796096 -0.820524 -0.841647 -0.859382 -0.873656 -0.884412 -0.891607 -0.895211 -0.895211 -0.891607 -0.884412 -0.873656 -0.859382 -0.841647 -0.820524 -0.796096 -0.768463 -0.737736 -0.704038 -0.667505 -0.628285 -0.586534 -0.542422 -0.496125 -0.447831 -0.397734 -0.346035 -0.292942 -0.238671 -0.183438 -0.127466 -0.0709812 -0.0142105 0.0426173 0.0992736 0.15553 0.21116 0.26594 0.31965 0.372072 0.422995 0.472216 0.519535 0.564762 0.607715 0.648221 0.686117 0.72125 0.753479 0.782674 0.808717 0.831504 0.850943 0.866955 0.879477 0.888457 0.893859 0.895662 || 7 
0.866819 0.865074 0.859845 0.851155 0.839036 0.82354 0.804727 0.782674 0.757469 0.729215 0.698024 0.664022 0.627346 0.588145 0.546575 0.502804 0.457009 0.409374 0.36009 0.309356 0.257376 0.20436 0.150522 0.0960767 0.0412449 -0.0137529 -0.0686954 -0.123361 -0.17753 -0.230985 -0.283509 -0.334891 -0.384925 -0.43341 -0.480148 -0.524954 -0.567646 -0.608052 -0.646009 -0.681366 -0.713979 -0.743716 -0.77046 -0.7941 -0.814544 -0.831707 -0.845521 -0.855931 -0.862894 -0.866383 -0.866383 -0.862894 -0.855931 -0.845521 -0.831707 -0.814544 -0.7941 -0.77046 -0.743716 -0.713979 -0.681366 -0.646009 -0.608052 -0.567646 -0.524954 -0.480148 -0.43341 -0.384925 -0.334891 -0.283509 -0.230985 -0.17753 -0.123361 -0.0686954 -0.0137529 0.0412449 0.0960767 0.150522 0.20436 0.257376 0.309356 0.36009 0.409374 0.457009 0.502804 0.546575 0.588145 0.627346 0.664022 0.698024 0.729215 0.757469 0.782674 0.804727 0.82354 0.839036 0.851155 0.859845 0.865074 0.866819 || 8 
0.834485 0.832805 0.827772 0.819405 0.807739 0.792821 0.77471 0.753479 0.729215 0.702014 0.671986 0.639253 0.603946 0.566206 0.526187 0.484049 0.439962 0.394103 0.346658 0.297816 0.247776 0.196737 0.144907 0.0924929 0.0397064 -0.0132399 -0.0661329 -0.11876 -0.170908 -0.222369 -0.272933 -0.322399 -0.370567 -0.417243 -0.462238 -0.505372 -0.546472 -0.585371 -0.621912 -0.65595 -0.687346 -0.715975 -0.74172 -0.764479 -0.78416 -0.800683 -0.813982 -0.824003 -0.830707 -0.834065 -0.834065 -0.830707 -0.824003 -0.813982 -0.800683 -0.78416 -0.764479 -0.74172 -0.715975 -0.687346 -0.65595 -0.621912 -0.585371 -0.546472 -0.505372 -0.462238 -0.417243 -0.370567 -0.322399 -0.272933 -0.222369 -0.170908 -0.11876 -0.0661329 -0.0132399 0.0397064 0.0924929 0.144907 0.196737 0.247776 0.297816 0.346658 0.394103 0.439962 0.484049 0.526187 0.566206 0.603946 0.639253 0.671986 0.702014 0.729215 0.753479 0.77471 0.792821 0.807739 0.819405 0.827772 0.832805 0.834485 || 9 
