0.997987 0.995977 0.989958 0.979952 0.966 0.948158 0.926499 0.901109 0.87209 0.83956 0.803649 0.764502 0.722277 0.677143 0.629283 0.578889 0.526164 0.47132 0.414579 0.356168 0.296323 0.235284 0.173299 0.110615 0.0474861 -0.015834 -0.0790904 -0.142028 -0.204394 -0.265937 -0.326409 -0.385567 -0.443173 -0.498993 -0.552805 -0.60439 -0.653542 -0.700063 -0.743764 -0.784471 -0.822018 -0.856256 -0.887046 -0.914264 -0.937801 -0.957561 -0.973466 -0.985451 -0.993468 -0.997484 -0.997484 -0.993468 -0.985451 -0.973466 -0.957561 -0.937801 -0.914264 -0.887046 -0.856256 -0.822018 -0.784471 -0.743764 -0.700063 -0.653542 -0.60439 -0.552805 -0.498993 -0.443173 -0.385567 -0.326409 -0.265937 -0.204394 -0.142028 -0.0790904 -0.015834 0.0474861 0.110615 0.173299 0.235284 0.296323 0.356168 0.414579 0.47132 0.526164 0.578889 0.629283 0.677143 0.722277 0.764502 0.803649 0.83956 0.87209 0.901109 0.926499 0.948158 0.966 0.979952 0.989958 0.995977 0.997987 || 0 
0.995977 0.993972 0.987965 0.977979 0.964055 0.946249 0.924633 0.899294 0.870334 0.83787 0.802031 0.762963 0.720823 0.67578 0.628016 0.577724 0.525105 0.470371 0.413744 0.355451 0.295726 0.234811 0.17295 0.110392 0.0473905 -0.0158021 -0.0789312 -0.141742 -0.203983 -0.265402 -0.325752 -0.384791 -0.44228 -0.497989 -0.551692 -0.603174 -0.652226 -0.698653 -0.742267 -0.782891 -0.820363 -0.854532 -0.88526 -0.912423 -0.935913 -0.955633 -0.971506 -0.983467 -0.991468 -0.995476 -0.995476 -0.991468 -0.983467 -0.971506 -0.955633 -0.935913 -0.912423 -0.88526 -0.854532 -0.820363 -0.782891 -0.742267 -0.698653 -0.652226 -0.603174 -0.551692 -0.497989 -0.44228 -0.384791 -0.325752 -0.265402 -0.203983 -0.141742 -0.0789312 -0.0158021 0.0473905 0.110392 0.17295 0.234811 0.295726 0.355451 0.413744 0.470371 0.525105 0.577724 0.628016 0.67578 0.720823 0.762963 0.802031 0.83787 0.870334 0.899294 0.924633 0.946249 0.964055 0.977979 0.987965 0.993972 0.995977 || 1 
0.989958 0.987965 0.981993 0.972068 0.958228 0.94053 0.919045 0.893859 0.865074 0.832805 0.797183 0.758352 0.716466 0.671696 0.62422 0.574232 0.521931 0.467528 0.411243 0.353302 0.293939 0.233391 0.171904 0.109725 0.0471041 -0.0157066 -0.0784541 -0.140886 -0.20275 -0.263798 -0.323783 -0.382465 -0.439607 -0.494979 -0.548357 -0.599528 -0.648284 -0.69443 -0.73778 -0.778159 -0.815405 -0.849367 -0.879909 -0.906909 -0.930256 -0.949857 -0.965634 -0.977523 -0.985475 -0.989459 -0.989459 -0.985475 -0.977523 -0.965634 -0.949857 -0.930256 -0.906909 -0.879909 -0.849367 -0.815405 -0.778159 -0.73778 -0.69443 -0.648284 -0.599528 -0.548357 -0.494979 -0.439607 -0.382465 -0.323783 -0.263798 -0.20275 -0.140886 -0.0784541 -0.0157066 0.0471041 0.109725 0.171904 0.233391 0.293939 0.353302 0.411243 0.467528 0.521931 0.574232 0.62422 0.671696 0.716466 0.758352 0.797183 0.832805 0.865074 0.893859 0.919045 0.94053 0.958228 0.972068 0.981993 0.987965 0.989958 || 2 
0.979952 0.977979 0.972068 0.962243 0.948543 0.931024 0.909756 0.884824 0.85633 0.824388 0.789126 0.750687 0.709224 0.664906 0.617911 0.568428 0.516656 0.462803 0.407087 0.349731 0.290968 0.231032 0.170167 0.108616 0.046628 -0.0155479 -0.0776611 -0.139462 -0.200701 -0.261131 -0.320511 -0.3786 -0.435164 -0.489976 -0.542815 -0.593468 -0.641732 -0.687412 -0.730323 -0.770294 -0.807163 -0.840782 -0.871016 -0.897742 -0.920853 -0.940257 -0.955874 -0.967642 -0.975514 -0.979458 -0.979458 -0.975514 -0.967642 -0.955874 -0.940257 -0.920853 -0.897742 -0.871016 -0.840782 -0.807163 -0.770294 -0.730323 -0.687412 -0.641732 -0.593468 -0.542815 -0.489976 -0.435164 -0.3786 -0.320511 -0.261131 -0.200701 -0.139462 -0.0776611 -0.0155479 0.046628 0.108616 0.170167 0.231032 0.290968 0.349731 0.407087 0.462803 0.516656 0.568428 0.617911 0.664906 0.709224 0.750687 0.789126 0.824388 0.85633 0.884824 0.909756 0.931024 0.948543 0.962243 0.972068 0.977979 0.979952 || 3 
0.966 0.964055 0.958228 0.948543 0.935038 0.917769 0.896803 0.872227 0.844138 0.812651 0.777891 0.739999 0.699127 0.65544 0.609114 0.560335 0.5093 0.456214 0.401291 0.344752 0.286825 0.227743 0.167744 0.10707 0.0459641 -0.0153265 -0.0765555 -0.137476 -0.197843 -0.257414 -0.315948 -0.373209 -0.428968 -0.483 -0.535087 -0.585019 -0.632595 -0.677625 -0.719925 -0.759327 -0.795672 -0.828812 -0.858615 -0.884961 -0.907743 -0.92687 -0.942265 -0.953866 -0.961626 -0.965514 -0.965514 -0.961626 -0.953866 -0.942265 -0.92687 -0.907743 -0.884961 -0.858615 -0.828812 -0.795672 -0.759327 -0.719925 -0.677625 -0.632595 -0.585019 -0.535087 -0.483 -0.428968 -0.373209 -0.315948 -0.257414 -0.197843 -0.137476 -0.0765555 -0.0153265 0.0459641 0.10707 0.167744 0.227743 0.286825 0.344752 0.401291 0.456214 0.5093 0.560335 0.609114 0.65544 0.699127 0.739999 0.777891 0.812651 0.844138 0.872227 0.896803 0.917769 0.935038 0.948543 0.958228 0.964055 0.966 || 4 
0.948158 0.946249 0.94053 0.931024 0.917769 0.900818 0.88024 0.856117 0.828548 0.797642 0.763524 0.726331 0.686214 0.643334 0.597864 0.549986 0.499893 0.447788 0.393879 0.338385 0.281528 0.223537 0.164646 0.105092 0.0451152 -0.0150434 -0.0751415 -0.134937 -0.194189 -0.252659 -0.310112 -0.366316 -0.421045 -0.474079 -0.525204 -0.574214 -0.620912 -0.665109 -0.706629 -0.745303 -0.780976 -0.813504 -0.842757 -0.868616 -0.890977 -0.909751 -0.924862 -0.936248 -0.943865 -0.947681 -0.947681 -0.943865 -0.936248 -0.924862 -0.909751 -0.890977 -0.868616 -0.842757 -0.813504 -0.780976 -0.745303 -0.706629 -0.665109 -0.620912 -0.574214 -0.525204 -0.474079 -0.421045 -0.366316 -0.310112 -0.252659 -0.194189 -0.134937 -0.0751415 -0.0150434 0.0451152 0.105092 0.164646 0.223537 0.281528 0.338385 0.393879 0.447788 0.499893 0.549986 0.597864 0.643334 0.686214 0.726331 0.763524 0.797642 0.828548 0.856117 0.88024 0.900818 0.917769 0.931024 0.94053 0.946249 0.948158 || 5 
0.926499 0.924633 0.919045 0.909756 0.896803 0.88024 0.860132 0.83656 0.80962 0.77942 0.746082 0.709739 0.670539 0.628638 0.584206 0.537422 0.488474 0.437559 0.384882 0.330655 0.275096 0.21843 0.160885 0.102691 0.0440846 -0.0146998 -0.073425 -0.131855 -0.189753 -0.246888 -0.303028 -0.357948 -0.411427 -0.463249 -0.513206 -0.561097 -0.606728 -0.649916 -0.690487 -0.728277 -0.763135 -0.794921 -0.823505 -0.848773 -0.870624 -0.888969 -0.903735 -0.914861 -0.922304 -0.926032 -0.926032 -0.922304 -0.914861 -0.903735 -0.888969 -0.870624 -0.848773 -0.823505 -0.794921 -0.763135 -0.728277 -0.690487 -0.649916 -0.606728 -0.561097 -0.513206 -0.463249 -0.411427 -0.357948 -0.303028 -0.246888 -0.189753 -0.131855 -0.073425 -0.0146998 0.0440846 0.102691 0.160885 0.21843 0.275096 0.330655 0.384882 0.437559 0.488474 0.537422 0.584206 0.628638 0.670539 0.709739 0.746082 0.77942 0.80962 0.83656 0.860132 0.88024 0.896803 0.909756 0.919045 0.924633 0.926499 || 6 
0.901109 0.899294 0.893859 0.884824 0.872227 0.856117 0.83656 0.813635 0.787433 0.758061 0.725636 0.690289 0.652163 0.611411 0.568196 0.522694 0.475087 0.425568 0.374334 0.321593 0.267558 0.212444 0.156476 0.0998773 0.0428765 -0.014297 -0.0714128 -0.128241 -0.184553 -0.240122 -0.294724 -0.348139 -0.400152 -0.450554 -0.499142 -0.54572 -0.590101 -0.632105 -0.671564 -0.708319 -0.742222 -0.773136 -0.800937 -0.825513 -0.846765 -0.864607 -0.878968 -0.88979 -0.897028 -0.900655 -0.900655 -0.897028 -0.88979 -0.878968 -0.864607 -0.846765 -0.825513 -0.800937 -0.773136 -0.742222 -0.708319 -0.671564 -0.632105 -0.590101 -0.54572 -0.499142 -0.450554 -0.400152 -0.348139 -0.294724 -0.240122 -0.184553 -0.128241 -0.0714128 -0.014297 0.0428765 0.0998773 0.156476 0.212444 0.267558 0.321593 0.374334 0.425568 0.475087 0.522694 0.568196 0.611411 0.652163 0.690289 0.725636 0.758061 0.787433 0.813635 0.83656 0.856117 0.872227 0.884824 0.893859 0.899294 0.901109 || 7 
0.87209 0.870334 0.865074 0.85633 0.844138 0.828548 0.80962 0.787433 0.762075 0.733649 0.702268 0.66806 0.631161 0.591721 0.549899 0.505862 0.459788 0.411863 0.362279 0.311237 0.258941 0.205603 0.151437 0.0966609 0.0414957 -0.0138365 -0.0691131 -0.124111 -0.17861 -0.232389 -0.285233 -0.336928 -0.387266 -0.436045 -0.483068 -0.528146 -0.571098 -0.611749 -0.649938 -0.685509 -0.71832 -0.748239 -0.775145 -0.798929 -0.819497 -0.836764 -0.850663 -0.861136 -0.868141 -0.871651 -0.871651 -0.868141 -0.861136 -0.850663 -0.836764 -0.819497 -0.798929 -0.775145 -0.748239 -0.71832 -0.685509 -0.649938 -0.611749 -0.571098 -0.528146 -0.483068 -0.436045 -0.387266 -0.336928 -0.285233 -0.232389 -0.17861 -0.124111 -0.0691131 -0.0138365 0.0414957 0.0966609 0.151437 0.205603 0.258941 0.311237 0.362279 0.411863 0.459788 0.505862 0.549899 0.591721 0.631161 0.66806 0.702268 0.733649 0.762075 0.787433 0.80962 0.828548 0.844138 0.85633 0.865074 0.870334 0.87209 || 8 
0.83956 0.83787 0.832805 0.824388 0.812651 0.797642 0.77942 0.758061 0.733649 0.706283 0.676073 0.64314 0.607618 0.569649 0.529387 0.486992 0.442637 0.3965 0.348766 0.299627 0.249282 0.197934 0.145788 0.0930553 0.0399479 -0.0133204 -0.0665351 -0.119482 -0.171947 -0.223721 -0.274593 -0.32436 -0.37282 -0.41978 -0.465049 -0.508446 -0.549795 -0.58893 -0.625694 -0.659939 -0.691526 -0.720328 -0.746231 -0.769128 -0.788928 -0.805552 -0.818932 -0.829014 -0.835758 -0.839137 -0.839137 -0.835758 -0.829014 -0.818932 -0.805552 -0.788928 -0.769128 -0.746231 -0.720328 -0.691526 -0.659939 -0.625694 -0.58893 -0.549795 -0.508446 -0.465049 -0.41978 -0.37282 -0.32436 -0.274593 -0.223721 -0.171947 -0.119482 -0.0665351 -0.0133204 0.0399479 0.0930553 0.145788 0.197934 0.249282 0.299627 0.348766 0.3965 0.442637 0.486992 0.529387 0.569649 0.607618 0.64314 0.676073 0.706283 0.733649 0.758061 0.77942 0.797642 0.812651 0.824388 0.832805 0.83787 0.83956 || 9 
